Year_Covercrop,Year_Stability,Year_planting,Year_CN,Trt,Block,Plot, Stability, TotalOM, TotalN, CN, Cmin, Cmin%, NO3, NH4, Nmin, Nmin%, Humidity , Mechanical ,soiltx,dgtx, Stone_soil, Graminoid_CR, Legume_CR, Other_CR, Baresoil_CR
2022,2023,4,2022,A_Viti,3,5,1.606666667,2.1,1.08,11.3,401,3.3,4.1,4.5,8.7,0.8,16.5,13,Clay_loam,,0.19470716,0,0.57,0.18,0.25
2022,2023,4,2022,D_Viti,1,1,1.309106434,2.6,1.22,12.6,649,4.2,4.6,4.6,18.1,1.5,18.4,11,Clay_loam,,0.255837287,0,0.5,0.4,0.1
2022,2023,4,2022,D_Viti,1,3,2.03235018,2.6,1.22,12.6,649,4.2,4.6,4.6,18.1,1.5,18.4,11,Clay_loam,,0.180343329,0,0.21,0.3,0.49
2022,2023,4,2022,D_Viti,1,5,1.627589839,2.4,1.24,11.3,480,3.4,3.7,3.7,17.7,1.4,17.1,11,Clay_loam,,0.255837287,0,0.28,0.47,0.26
2022,2023,4,2022,D_Viti,2,1,1.512336164,1.8,0.87,12.1,450,4.3,2.4,2.4,9.8,1.1,16.1,11,Clay_loam,,0.113411233,0,0.3,0.4,0.3
2022,2023,4,2022,D_Viti,2,3,1.313211797,1.8,0.87,12.1,450,4.3,2.4,2.4,9.8,1.1,16.1,11,Clay_loam,,0.053662643,0,0.25,0.5,0.25
2022,2023,4,2022,D_Viti,2,5,1.895423574,1.8,0.86,12.3,435,4.1,0.6,0.6,7.3,0.8,16.4,11,Clay_loam,,0.113411233,0,0,0.5,0.5
2022,2023,4,2022,D_Viti,3,1,1.278641733,2.2,1.12,11.4,461,3.6,2.8,2.8,10.5,0.9,17.6,11,Clay_loam,,0.113411233,0,0.2,0.42,0.38
2022,2023,4,2022,D_Viti,3,3,1.530350105,2.2,1.12,11.4,461,3.6,2.8,2.8,10.5,0.9,17.6,11,Clay_loam,,0.272109945,0,0.64,0.16,0.2
2022,2023,4,2022,D_Viti,3,5,1.292649186,2.2,1.17,10.8,615,4.9,3.7,3.7,21.5,1.8,16.9,11,Clay_loam,,0.272109945,0,0.1,0.58,0.32
2022,2023,4,2022,T_Viti,4,1,1.232420967,1.7,0.87,11.6,274,2.7,7.9,7.9,13,1.5,17.4,18,Silt_loam,,0.113411233,0,0,0,1
2022,2023,4,2022,T_Viti,4,3,1.08417056,1.7,0.87,11.6,274,2.7,7.9,7.9,13,1.5,17.4,18,Silt_loam,,0.113411233,0,0,0,1
2022,2023,4,2022,T_Viti,4,5,0.824978677,1.7,0.87,11.6,274,2.7,7.9,7.9,13,1.5,17.4,18,Silt_loam,,0.113411233,0,0,0,1
2022,2023,4,2022,T_Viti,5,1,0.985749858,2,1.07,10.8,244,2.1,9.7,9.7,13.8,1.3,15.6,18,Silt_loam,,0.180343329,0,0,0,1
2022,2023,4,2022,T_Viti,5,3,0.41409483,2,1.07,10.8,244,2.1,9.7,9.7,13.8,1.3,15.6,18,Silt_loam,,0.053662643,0,0,0,1
2022,2023,4,2022,T_Viti,5,5,0.578931026,2,1.07,10.8,244,2.1,9.7,9.7,13.8,1.3,15.6,18,Silt_loam,,0.113411233,0,0,0,1
2022,2023,4,2022,T_Viti,6,1,0.621189432,2,1.03,11.1,401,3.5,8.7,8.7,7.6,0.7,19.8,18,Silt_loam,,0.180343329,0,0,0,1
2022,2023,4,2022,T_Viti,6,3,0.624630964,2,1.03,11.1,401,3.5,8.7,8.7,7.6,0.7,19.8,18,Silt_loam,,0.113411233,0,0,0,1
2022,2023,4,2022,T_Viti,6,5,0.518391007,2,1.03,11.1,401,3.5,8.7,8.7,7.6,0.7,19.8,18,Silt_loam,,0.053662643,0,0,0,1
