Treatment ,Variety ,Direction ,Block,Plot,Rep,Year_Stability,Year_CN,Year_Bulk,Year_covercrop,Depth,Bulk_Density ,Stability,TotalOM,TotalN,CN,Cmin,Cmin%,NO3,NH4,Nmin,Nmin%,Humidity ,F_Mechanical actions,DG_soilTx,Stone:soil,Cover_DM_t_ha,Cover_potRestit_N,Cover_mesRestit_N,Cover_mesRestit_C
A_Viti,Artaban,,2,5,1,2019,2021,2020,2021,10,1.019251679,0.33,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.255837287,95920,892888951,34119984,417834096
A_Viti,Artaban,,2,5,2,2019,2021,2020,2021,10,1.019251679,0.38,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.255837287,95920,892888951,34119984,417834096
A_Viti,Artaban,,2,5,3,2019,2021,2020,2021,10,1.019251679,0.37,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.255837287,95920,892888951,34119984,417834096
A_Viti,Artaban,,3,1,1,2019,2021,2020,2021,10,1.120260374,0.51,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,1,2,2019,2021,2020,2021,10,1.120260374,0.5,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,1,3,2019,2021,2020,2021,10,1.120260374,0.49,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,2,1,2019,2021,2020,2021,10,1.272019465,0.7,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.061638489,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,2,2,2019,2021,2020,2021,10,1.272019465,0.63,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.061638489,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,2,3,2019,2021,2020,2021,10,1.272019465,0.64,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.061638489,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,3,1,2019,2021,2020,2021,10,1.134235047,0.46,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.180343329,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,3,2,2019,2021,2020,2021,10,1.134235047,0.42,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.180343329,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,3,3,2019,2021,2020,2021,10,1.134235047,0.54,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.180343329,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,4,1,2019,2021,2020,2021,10,1.301247574,0.52,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.088716692,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,4,2,2019,2021,2020,2021,10,1.301247574,0.47,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.088716692,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,4,3,2019,2021,2020,2021,10,1.301247574,0.47,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.088716692,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,5,1,2019,2021,2020,2021,10,1.191947831,0.53,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.113411233,51032,3421616,18038400,226075912
